2022/03/08 18:28:13 Micro started
2022/03/08 18:28:46 service.c service.c
2022/03/08 18:28:46 service.c service.c
2022/03/08 18:28:47 service.c service.c
2022/03/08 18:28:47 service.c service.c
2022/03/08 18:28:52 service.c service.c
2022/03/08 18:28:52 service.c service.c
2022/03/08 18:29:04 service.c service.c
2022/03/08 18:29:04 service.c service.c
2022/03/08 18:29:04 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:05 service.c service.c
2022/03/08 18:29:06 service.c service.c
2022/03/08 18:29:06 service.c service.c
2022/03/08 18:29:06 service.c service.c
2022/03/08 18:29:23 service.c service.c
2022/03/08 18:29:23 service.c service.c
2022/03/08 18:29:23 service.c service.c
2022/03/08 18:29:23 service.c service.c
2022/03/08 18:29:27 service.c service.c
2022/03/08 18:29:27 service.c service.c
2022/03/08 18:31:48 service.c service.c
2022/03/08 18:31:48 service.c service.c
2022/03/08 18:32:03 service.c service.c
2022/03/08 18:32:03 service.c service.c
2022/03/08 18:32:03 service.c service.c
2022/03/08 18:32:03 service.c string.h
2022/03/08 18:32:03 service.c service.c
2022/03/08 18:32:03 service.c service.c
2022/03/08 18:32:08 service.c service.c
2022/03/08 18:32:08 service.c service.c
2022/03/08 18:32:08 service.c service.c
2022/03/08 18:32:08 service.c service.c
2022/03/08 18:32:11 service.c service.c
2022/03/08 18:32:11 service.c service.c
2022/03/08 18:32:12 service.c service.c
2022/03/08 18:32:12 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:13 service.c service.c
2022/03/08 18:32:14 service.c service.c
2022/03/08 18:32:14 service.c service.c
2022/03/08 18:32:14 service.c service.c
2022/03/08 18:32:14 service.c service.c
2022/03/08 18:32:14 service.c service.c
2022/03/08 18:32:14 service.c service.c
